Genotype,"Mean(# Seeds (good), Italy, 2010)","Mean(# Seeds (good), Italy, 2011)","Mean(# Seeds (good), Sweden, 2010)","Mean(# Seeds (good), Sweden, 2011)","N(# Seeds (good), Italy, 2010)","N(# Seeds (good), Italy, 2011)","N(# Seeds (good), Sweden, 2010)","N(# Seeds (good), Sweden, 2011)","Mean(MSeedMass(ug), Italy, 2010)","Mean(MSeedMass(ug), Italy, 2011)","Mean(MSeedMass(ug), Sweden, 2010)","Mean(MSeedMass(ug), Sweden, 2011)","N(MSeedMass(ug), Italy, 2010)","N(MSeedMass(ug), Italy, 2011)","N(MSeedMass(ug), Sweden, 2010)","N(MSeedMass(ug), Sweden, 2011)","Mean(TotMass(ug), Italy, 2010)","Mean(TotMass(ug), Italy, 2011)","Mean(TotMass(ug), Sweden, 2010)","Mean(TotMass(ug), Sweden, 2011)","N(TotMass(ug), Italy, 2010)","N(TotMass(ug), Italy, 2011)","N(TotMass(ug), Sweden, 2010)","N(TotMass(ug), Sweden, 2011)"
428,27.75,21.5555555556,43.5,33.1666666667,4,9,4,6,17.373015873,21.3950098814,22.6887175325,25.9267969644,4,9,4,6,487.5,443.3333333333,987.5,850,4,9,4,6
429,33,30.25,40,29,5,8,4,2,22.5336055114,14.4255640941,24.8740939195,28.7620192308,5,7,4,2,754,517.1428571429,1015,835,5,7,4,2
431,28.8333333333,30.25,30.1428571429,33.75,6,8,7,4,23.4578881766,21.1351007849,23.9466109105,25.7143550894,6,8,7,4,678.3333333333,650,727.1428571429,870,6,8,7,4
432,33.8571428571,27.6666666667,44,31.2,7,6,7,5,23.4047619048,22.7060895682,26.3102218027,24.2493381499,7,6,7,5,801.4285714286,641.6666666667,1152.8571428572,776,7,6,7,5
434,32.4,30.2,29.8,33,5,5,5,2,23.817579671,18.9969511109,24.7228900256,25.1397949674,5,5,5,2,784,614,734,835,5,5,5,2
435,27.5714285714,35.5714285714,38.6666666667,29.2857142857,7,7,6,7,21.1369345309,18.3766498002,25.562637873,27.2513912588,7,7,6,7,561.4285714286,672.8571428571,980,787.1428571429,7,7,6,7
436,21.4285714286,17.5,14.5,14.5,7,2,4,2,36.5376863132,32.6724137931,40.7132352941,44.1346153846,7,2,4,2,791.4285714286,545,575,630,7,2,4,2
438,33.6,25.7142857143,41.5,30.5,5,7,4,4,20.6228105228,23.2283753909,24.6824229692,28.0310150376,5,7,4,4,706,597.1428571429,1025,855,5,7,4,4
439,23.5,30.8333333333,43.8,35.6,4,6,5,5,21.288453159,16.2235569509,22.8277284619,23.6355862775,4,6,5,5,505,495,1000,844,4,6,5,5
440,28.6,35.6666666667,38,33.6,5,3,5,5,19.1230224691,17.4393595822,21.1507905643,22.9045040646,5,3,5,5,544,653.3333333333,800,762,5,3,5,5
442,30,19.25,37.5,28.8571428571,5,4,8,7,18.423525041,19.7619047619,24.5305040494,25.9338361152,5,3,8,7,560,506.6666666667,927.5,731.4285714286,5,3,8,7
444,29.3333333333,30,43.8,36.4285714286,3,3,5,7,24.1565217391,19.7348272642,21.6460991563,22.7962074691,3,3,5,7,670,593.3333333333,960,815.7142857143,3,3,5,7
445,29.2,27.6363636364,32.8333333333,27.8333333333,5,11,6,6,23.2794505495,19.752262117,23.9620934621,26.6284712898,5,10,6,6,676,644,793.3333333333,731.6666666667,5,10,6,6
447,30.1666666667,24.4,41.3333333333,31.5,6,5,6,4,21.4601857141,16.6469271469,24.5637699946,25.4950381609,6,4,6,4,665,425,1011.6666666667,797.5,6,4,6,4
448,33.6,,29,,5,0,2,0,19.2382673318,,22.9627329193,,5,0,2,0,686,,655,,5,0,2,0
449,18,23.2,21.5,18.5,6,5,6,4,35.3125313283,37.2287634409,41.8966134699,45.6842231842,6,5,6,4,615,844,890,830,6,5,6,4
450,30.25,26.4,36.6,36,8,5,5,6,23.1986306447,21.8877688172,28.3439137522,24.2523435375,8,4,5,6,695,775,1034,830,8,4,5,6
452,36.75,27.375,32.5,33.5,4,8,6,6,20.5254355401,16.7565234437,24.3987308987,25.0419432419,4,7,6,6,740,491.4285714286,788.3333333333,840,4,7,6,6
454,31.125,36.3333333333,35,36.25,8,3,4,4,21.1106871104,19.7147339894,22.2977779246,23.5351518255,8,3,4,4,661.25,726.6666666667,780,860,8,3,4,4
455,33.5,27.875,36.8571428571,31,6,8,7,1,24.8398972301,17.6761214976,24.5935785409,29.6774193548,6,7,7,1,835,575.7142857143,907.1428571429,920,6,7,7,1
456,23.8333333333,21.8,35.3333333333,28.875,6,5,3,8,22.2667265457,15.4696576307,24.4884823848,25.7489581729,6,4,3,8,498.3333333333,377.5,860,745,6,4,3,8
457,34,29.5,34,32.5714285714,5,4,8,7,21.6804939177,19.095502236,24.0524993089,24.3425051913,5,4,8,7,726,575,813.75,775.7142857143,5,4,8,7
458,26.8,25.8571428571,32.75,11,5,7,4,1,19.2603637742,20.2329136699,26.2149354024,25.4545454545,5,6,4,1,506,621.6666666667,857.5,280,5,6,4,1
459,23.8,32.1111111111,38.4,28.6666666667,5,9,5,9,23.4816586151,22.2199675953,25.2934800551,26.7964675339,5,9,5,9,564,720,966,761.1111111111,5,9,5,9
460,27,27.7142857143,37.6,24,5,7,5,2,25.0596678863,17.3281781458,25.9430060825,28.166969147,5,7,5,2,668,491.4285714286,982,680,5,7,5,2
461,25.8,37.8,29.6,24.5,5,5,5,2,18.1237873735,19.3510411981,26.4195738902,24.6237458194,5,5,5,2,406,720,784,605,5,5,5,2
462,27.8,26.875,36.75,32.5,5,8,4,4,21.7507692308,23.2954116945,23.2845717234,21.2816420251,5,7,4,4,600,690,855,692.5,5,7,4,4
463,21.4,24.1666666667,36.8333333333,30,5,6,6,4,23.3505952381,16.6001569172,26.3339811508,36.4163372859,4,6,6,3,615,400,973.3333333333,1116.6666666667,4,6,6,3
466,29.25,19.6666666667,33.7142857143,27.3333333333,4,3,7,6,18.7424516908,20.0666666667,26.7047589115,26.6605392157,4,2,7,6,530,565,888.5714285714,696.6666666667,4,2,7,6
469,21.6,21.5714285714,35.8,23.3333333333,5,7,5,3,27.1655172414,21.1463359063,24.1980607628,22.531986532,5,5,5,3,532,612,866,540,5,5,5,3
470,33.25,22.75,34.3333333333,30,8,4,6,7,24.9856208247,22.0771604938,26.9504226664,30.5032316986,8,3,6,7,828.75,466.6666666667,923.3333333333,914.2857142857,8,3,6,7
472,29.8333333333,26.75,,23.6666666667,6,8,0,3,22.816651702,17.9671274285,,22.3005979528,6,7,0,3,681.6666666667,547.1428571429,,530,6,7,0,3
473,26.6666666667,22.75,35,28.8333333333,3,4,4,6,24.6430652681,18.8835227273,24.5903095819,32.2104599906,3,4,4,6,650,470,860,900,3,4,4,6
475,33.5,29.4285714286,40.8,26.8,6,7,5,5,22.8258330379,18.7742673993,23.7629010142,24.8560903149,6,7,5,5,775,552.8571428571,952,672,6,7,5,5
476,34,25.3333333333,34.4,27,5,3,5,3,18.3643162393,20.4667788057,22.3520409161,23.336489899,5,2,5,3,626,715,780,620,5,2,5,3
481,24,27.625,24,33.25,5,8,2,4,22.106959707,20.236766464,17.3544973545,24.0356625549,5,8,2,4,540,542.5,420,777.5,5,8,2,4
484,26.6666666667,26.7142857143,35.3333333333,36,6,7,3,4,21.6408204766,17.8572404786,23.5004025765,24.5388091441,6,7,3,4,636.6666666667,488.5714285714,836.6666666667,870,6,7,3,4
485,20.25,25.8333333333,33.6,21.6666666667,4,6,5,3,24.2585630744,20.8570073806,25.9767349767,24.5454545455,4,6,5,3,487.5,545,876,536.6666666667,4,6,5,3
486,24.4,18.6666666667,36.5,33.4,5,6,4,5,19.9134809635,17.4937343358,25.3768303187,29.6270228417,5,6,4,5,516,320,925,998,5,6,4,5
488,20.3333333333,,37.5,,3,0,8,0,21.9438596491,,23.7222934859,,3,0,8,0,450,,886.25,,3,0,8,0
489,29.25,41.4,30.75,26.8,4,5,4,5,18.5216450216,18.7258876389,23.6675043706,23.7298850575,4,4,4,5,565,910,727.5,616,4,4,4,5
490,26.7142857143,21.75,34,23,7,4,6,2,20.824085081,14.455026455,21.4985202166,22.6538461538,7,4,6,2,568.5714285714,305,748.3333333333,520,7,4,6,2
494,33,21.2,36.1428571429,27.5,4,5,7,4,20.0511315212,20.1777777778,21.0120831549,24.770531401,4,5,7,4,682.5,396,760,677.5,4,5,7,4
495,25,29.8333333333,36.4285714286,35.75,5,6,7,4,18.5137566138,19.9658277825,22.5397362249,23.5828291994,5,6,7,4,476,598.3333333333,820,852.5,5,6,7,4
496,22.25,20.6666666667,22.8,39,4,6,5,3,18.6230769231,10.8464573269,25.6401002506,26.144672055,4,6,5,3,405,238.3333333333,592,1013.3333333333,4,6,5,3
499,30.1428571429,23.75,32.5,18.5,7,4,4,2,21.4285025011,20.1364942529,25.2265561363,17.9310344828,7,4,4,1,630,507.5,810,520,7,4,4,1
503,29,20.875,34.2857142857,29.2857142857,3,8,7,7,22.6903538307,24.4911279559,25.5659244735,25.8448275862,3,8,7,7,653.3333333333,448.75,868.5714285714,761.4285714286,3,8,7,7
504,27,43,47,29,4,2,2,3,19.969368987,22.8238482385,23.1519274376,24.6416791604,4,2,2,3,552.5,990,1090,720,4,2,2,3
506,30.1666666667,23.5555555556,35.625,30.2857142857,6,9,8,7,19.8445037419,22.046350613,26.8680436448,28.7362141524,6,9,8,7,623.3333333333,512.2222222222,961.25,857.1428571429,6,9,8,7
507,32.5,33.5833333333,32.5,34.6,8,12,6,5,24.3904086457,22.4582530814,24.2560839544,27.9950247695,8,11,6,5,796.25,822.7272727273,790,980,8,11,6,5
508,24.7777777778,25.6,36,30.4285714286,9,5,4,7,20.3235121737,20.843476237,23.9765959015,26.0647488617,9,5,4,7,504.4444444444,524,867.5,788.5714285714,9,5,4,7
509,28.25,33.2,35,31.4,4,5,5,5,21.6311588738,21.5857142857,22.8762531328,22.6258276704,4,5,5,5,640,716,798,712,4,5,5,5
510,23.75,27,30.5,35,4,5,4,2,19.1571969697,23.3769230769,28.277972028,28.3242753623,4,5,4,2,515,630,855,1005,4,5,4,2
513,24.6666666667,26,37,34.3333333333,6,3,5,3,21.0381535887,23.6174055829,25.4891484496,28.6546840959,6,3,5,3,533.3333333333,643.3333333333,946,1020,6,3,5,3
515,26.4,24.5555555556,38.5714285714,30.6,5,9,7,5,16.0191570881,18.6669454616,22.438380442,25.0903926483,5,8,7,5,406,527.5,862.8571428571,772,5,8,7,5
516,24,25,42.1666666667,33.5,5,7,6,4,21.4098124098,20.3618191721,27.6309023552,28.8392857143,5,6,6,4,508,560,1155,955,5,6,6,4
519,28.25,31.3333333333,42,41.5,4,3,4,6,18.0297619048,20.233785822,26.7101677363,27.7100096311,4,3,4,6,507.5,623.3333333333,1122.5,1171.6666666667,4,3,4,6
520,13.25,16.5,39.5,31.75,4,2,6,4,20.4642857143,15.5555555556,22.6155109277,26.8336349743,4,2,6,4,260,240,901.6666666667,850,4,2,6,4
521,33.8888888889,34.6666666667,42.7142857143,29.1666666667,9,6,7,6,17.7048592167,19.8940197733,22.3610186817,23.5250257777,9,5,7,6,576.6666666667,842,958.5714285714,681.6666666667,9,5,7,6
522,27,23.2857142857,43,30,4,7,2,2,16.102915804,18.5048799077,25.7452574526,22.7777777778,4,6,2,2,462.5,498.3333333333,1100,685,4,6,2,2
524,33,29.2,31,22.25,5,5,6,4,26.2705157805,15.1731105991,22.8071322719,23.9266787659,5,5,6,4,914,448,715,540,5,5,6,4
527,32.6666666667,28.6666666667,40.6,31,6,3,5,4,24.0396636329,21.0397946085,26.5902561281,26.5881649821,6,2,5,4,781.6666666667,835,1080,832.5,6,2,5,4
528,32.2,27.1428571429,35.8,36.6,5,7,5,5,22.8604771391,18.5598444162,24.8948023654,26.6172712717,5,7,5,5,692,555.7142857143,894,978,5,7,5,5
530,32.4,28.5,43,33.75,5,4,1,8,25.0254492536,15.3725490196,25.1162790698,25.2164286928,5,4,1,8,792,480,1080,827.5,5,4,1,8
535,23.75,27,36.75,29,4,7,4,2,20.6871621622,15.616914232,22.0965929164,24.6415770609,4,7,4,2,487.5,427.1428571429,812.5,715,4,7,4,2
536,26,22.5,37.2,32.1666666667,6,6,5,6,20.4165452603,18.5139130435,20.6380176075,18.899685161,6,5,5,6,510,480,760,615,6,5,5,6
540,22,19.5,31,27.5,8,8,5,2,24.0341341665,20.0030686705,27.2545248869,23.2625994695,8,8,5,2,523.75,398.75,852,640,8,8,5,2
541,30.2,32,44.8,35,5,5,5,2,22.5884637151,20.7300075292,23.4185706399,26.9607843137,5,5,5,2,688,672,1050,945,5,5,5,2
545,35,39.3333333333,33,28,3,3,2,8,19.3135554159,18.8321482439,27.1804511278,26.4410943159,3,3,2,8,676.6666666667,773.3333333333,890,715,3,3,2,8
547,24.75,29.8,48,41.5,4,5,4,4,21.818627451,18.720371517,24.3583194284,25.5912698413,4,5,4,3,525,578,1165,1010,4,5,4,3
548,28.2,22.6666666667,28.8333333333,21.2,5,3,6,5,17.3827570956,17.5529953917,25.2550435228,25.0519047619,5,2,6,5,512,575,733.3333333333,526,5,2,6,5
549,29.75,24.2857142857,32,28.25,4,7,5,4,23.9829545455,17.7228344353,29.0986590038,28.3237327189,4,7,5,4,710,431.4285714286,918,820,4,7,5,4
550,26.6,21.6666666667,30,30.2,5,6,3,5,21.4198841699,23.8787926484,26.527458493,27.7093406593,5,6,3,5,602,520,823.3333333333,846,5,6,3,5
552,24.2,23.5714285714,40,38.25,5,7,3,4,19.6941520468,20.5281385281,26.7037037037,27.1568582163,5,7,3,4,486,500,1080,1035,5,7,3,4
553,24.6,23.25,28.2,29.8333333333,5,4,5,6,22.3142857143,13.7083333333,29.2693928533,30.6215386391,5,4,5,6,554,307.5,822,916.6666666667,5,4,5,6
558,21.6666666667,16.75,40.8571428571,27.3333333333,3,4,7,6,24.7627862334,20.4440789474,25.838945737,27.3236186007,3,4,7,6,513.3333333333,342.5,1051.4285714286,736.6666666667,3,4,7,6
559,28.6666666667,26.8,35.8,24,9,5,5,2,20.9161530658,19.0125806452,26.8062240281,31.1868131868,9,5,5,2,610,510,958,660,9,5,5,2
560,25.8333333333,21.8,38.6666666667,31.3333333333,6,5,3,9,24.0363687204,19.1641558442,26.6316067653,27.5311208554,6,5,3,9,615,408,1030,871.1111111111,6,5,3,9
561,27.6,17,41,35.5,5,3,4,4,25.8993039628,16.5507246377,26.0619358478,26.3988667159,5,3,4,4,660,296.6666666667,1037.5,952.5,5,3,4,4
562,22,35,37.1428571429,34.6666666667,3,1,7,6,21.5420979986,18.8571428571,22.9832197673,23.0956109489,3,1,7,6,476.6666666667,660,855.7142857143,806.6666666667,3,1,7,6
563,24.5,24.8,32.6666666667,28,8,5,6,6,19.8779539832,20.6643754375,25.5012112071,24.2468975469,8,4,6,6,488.75,615,826.6666666667,683.3333333333,8,4,6,6
564,27.5,22,36.8333333333,24.75,8,10,6,4,22.8169501268,16.0941459775,24.3499546743,28.3501664107,8,9,6,4,615,377.7777777778,895,700,8,9,6,4
565,34,28.4,39,32.6,5,5,6,5,25.6979320679,21.8283564058,24.8226051828,27.2334254691,5,4,6,5,890,802.5,966.6666666667,886,5,4,6,5
567,31.8,28.1428571429,39.5,37.1666666667,5,7,4,6,23.4694279833,20.7827004865,25.4899170597,29.1769914711,5,7,4,6,714,581.4285714286,1002.5,1078.3333333333,5,7,4,6
571,36.25,33.3333333333,36.75,30.75,4,6,4,4,23.1808535567,20.4837419525,26.3318972694,26.5181782573,4,6,4,4,862.5,716.6666666667,967.5,817.5,4,6,4,4
572,25.8,26.4285714286,37.6,31,5,7,5,4,21.6281385281,18.2373571239,23.4769568704,24.6159003831,5,6,5,4,558,496.6666666667,876,767.5,5,6,5,4
574,25,22.5714285714,29.5,26.2857142857,4,7,4,7,25.2230414747,17.7983764124,27.0025252525,30.4708173804,4,6,4,7,625,478.3333333333,825,798.5714285714,4,6,4,7
575,29,20.6666666667,39,33.8571428571,4,6,6,7,20.7887205387,21.9829140158,22.7225935018,24.6928305324,4,6,6,7,615,433.3333333333,885,818.5714285714,4,6,6,7
576,30.8333333333,23.8333333333,33.6666666667,27.75,6,6,3,4,22.9749807185,21.0127960275,24.2537393162,21.6885741034,6,5,3,4,706.6666666667,536,816.6666666667,592.5,6,5,3,4
578,24,22.2,33,27.5714285714,4,5,5,7,17.802608397,17.5169575523,26.3894286917,28.0601798133,4,5,5,7,442.5,446,866,781.4285714286,4,5,5,7
579,22.25,18,38.8,39.6666666667,4,4,5,3,21.8174291939,18.9278017241,25.2980989704,26.6712364538,4,4,5,3,487.5,305,1010,1070,4,4,5,3
581,27.3333333333,27.8,33.2,30.5,3,5,5,2,22.2614507283,22.2663547758,21.9963673351,21.1036036036,3,5,5,2,606.6666666667,628,722,640,3,5,5,2
582,13,21.2857142857,26.6,25.5,5,7,5,2,23.6147869674,20.2291898578,22.0653439947,24.2615384615,5,7,5,2,302,420,574,620,5,7,5,2
583,22.3333333333,22.75,30.6666666667,32.25,3,4,3,4,23.6296296296,17.9470529471,25.0546218487,29.9802648332,3,4,2,4,523.3333333333,392.5,865,967.5,3,4,2,4
586,28.25,30.625,42.4,36,4,8,5,6,23.9143928322,16.5371733609,26.7535089981,26.3931667764,4,8,5,6,700,505,1134,955,4,8,5,6
587,25.8,34,37.1428571429,29,5,1,7,4,21.3727105532,13.5294117647,23.3860299365,25.3510646274,5,1,7,4,550,460,875.7142857143,712.5,5,1,7,4
590,26.75,32.2,32.1428571429,23.5,4,5,7,2,23.7997807018,18.1968253968,23.1533412262,24.9365942029,4,5,7,2,635,594,737.1428571429,585,4,5,7,2
593,28.75,25.5,47,30.7142857143,4,4,3,7,21.9661436125,21.4016320286,26.240981241,30.0733094117,4,4,3,7,622.5,575,1236.6666666667,925.7142857143,4,4,3,7
594,33,25.8571428571,34.8,33.4,4,7,5,5,21.4832414832,19.3725871711,24.7747710623,23.5136153838,4,7,5,5,692.5,497.1428571429,862,782,4,7,5,5
595,20.75,20.4,35.6666666667,33.75,4,5,3,4,27.3764690171,20.6072722567,29.2441860465,27.5,4,4,3,4,547.5,510,1046.6666666667,905,4,4,3,4
596,24.6,28.8333333333,41.8,35.6666666667,5,6,5,6,23.4337285903,21.5074407399,24.7917977182,29.2085085656,5,6,5,6,574,623.3333333333,1032,1028.3333333333,5,6,5,6
601,27,21,29.5,24.6666666667,5,2,4,3,23.305413008,24.3333333333,26.074270557,28.108974359,5,2,4,3,640,505,767.5,690,5,2,4,3
602,25.2,21.25,47,35.2857142857,5,4,3,7,18.6226400313,11.4530443756,21.6888888889,23.7501204935,5,4,3,6,472,242.5,1023.3333333333,846.6666666667,5,4,3,6
605,27.5,11.5,42.5714285714,31.5714285714,4,6,7,7,22.2146268342,19.5576923077,26.6656956547,29.4738915428,4,4,7,7,592.5,290,1122.8571428572,895.7142857143,4,4,7,7
606,28.8,22.4285714286,37,34.75,5,7,6,8,22.3686934728,18.9562145929,23.249129904,24.1650317095,5,7,6,8,652,425.7142857143,858.3333333333,820,5,7,6,8
607,19.25,22.4,35.2857142857,35,4,5,7,1,21.8055555556,20.2202172097,26.5020648373,26.5714285714,3,5,7,1,463.3333333333,462,935.7142857143,930,3,5,7,1
609,40.25,30,37.6,21.3333333333,4,7,5,3,22.3739854512,20.1471827101,26.3784052867,33.0439065578,4,7,5,3,902.5,631.4285714286,990,736.6666666667,4,7,5,3
610,19.8333333333,19.3333333333,31.1666666667,25.4,6,6,6,5,23.3483444681,21.3035130719,27.5066279037,27.9185128597,6,5,6,5,458.3333333333,506,848.3333333333,702,6,5,6,5
612,24.4,27.7142857143,37.6,24.5,5,7,5,2,22.1579365079,18.2606156027,24.0186716792,26.8106617647,4,6,5,2,462.5,513.3333333333,910,655,4,6,5,2
614,24,22.6666666667,37,39,4,3,7,4,23.1726069493,19.9538239538,24.5335345847,27.2913740395,4,3,7,4,560,460,908.5714285714,1065,4,3,7,4
619,28.75,29.8888888889,35.3333333333,24,4,9,3,4,21.1352918587,20.4214647831,27.1013133208,26.8749292586,4,9,3,4,602.5,607.7777777778,973.3333333333,640,4,9,3,4
620,29.2,34.6666666667,33,30.8333333333,5,6,6,6,21.8174903332,19.3978645222,24.0664417361,24.9926772751,5,6,6,6,640,721.6666666667,790,768.3333333333,5,6,6,6
623,22.4,24.1666666667,33,27.4285714286,10,6,6,7,21.0852390028,22.0150742848,31.1064993565,27.1330676986,10,6,6,7,495,556.6666666667,991.6666666667,757.1428571429,10,6,6,7
625,22.7142857143,33.6666666667,30.75,17.5,7,6,8,2,20.9809437874,17.5734271315,22.7349323474,23.7937062937,7,6,8,2,471.4285714286,610,702.5,385,7,6,8,2
629,31.5,26.7142857143,29.5,31.6666666667,6,7,6,9,28.6354691763,21.85351299,26.3645758662,26.491391203,6,7,6,9,893.3333333333,587.1428571429,776.6666666667,841.1111111111,6,7,6,9
631,26,25.1428571429,29.2857142857,32,8,7,7,6,30.6743552536,23.0730190862,26.6177526588,30.8261938922,7,7,7,6,872.8571428571,581.4285714286,791.4285714286,995,7,7,7,6
633,24.25,17.25,40,37,4,4,5,2,17.874462494,22.6620813397,23.9455259027,29.5945945946,4,4,5,2,435,370,954,1095,4,4,5,2
635,22.8333333333,33.75,34.3333333333,34.2857142857,6,4,3,7,21.696743295,25.2305595069,25.8646245059,25.7661540199,6,4,3,7,500,865,890,891.4285714286,6,4,3,7
640,30,21,38.6,38.1666666667,4,2,5,6,19.5990581098,23.0470588235,25.1175123976,26.9909783973,4,2,5,6,567.5,515,972,1028.3333333333,4,2,5,6
642,28.1666666667,24.75,35.6,21.8,6,8,5,5,19.9137234902,20.6914110734,24.4268067017,26.6739086145,6,7,5,5,568.3333333333,577.1428571429,876,574,6,7,5,5
644,27,33.6666666667,32.625,28.25,4,3,8,4,21.9609227644,20.3641456583,27.542876588,25.0025595514,4,3,8,4,595,690,895,702.5,4,3,8,4
647,23.5,14.8571428571,34.2,25.3333333333,8,7,5,6,25.486860939,22.6565941369,22.2148685374,24.2682633307,8,6,5,6,545,346.6666666667,764,610,8,6,5,6
649,24.25,20,34,25.5,4,5,2,6,23.3594958595,23.359375,21.9136878814,27.3827244009,4,4,2,6,540,547.5,745,653.3333333333,4,4,2,6
651,31.3333333333,26.6666666667,32.4,26,6,6,5,3,23.1133489942,21.3832337826,22.5605691057,26.6835016835,6,6,5,3,725,596.6666666667,728,690,6,6,5,3
656,25.25,25.5,36,34.2,4,8,5,5,23.6991920706,20.1603652652,25.8692424084,29.2241935484,4,8,5,5,600,528.75,936,1004,4,8,5,5
657,30.5714285714,32.5,43.6,35.4285714286,7,6,5,7,24.3916827415,18.4197828487,24.9378296176,26.5825451996,7,6,5,7,738.5714285714,630,1080,960,7,6,5,7
658,18.75,26.5,31.3333333333,28.1666666667,4,8,3,6,26.9042568543,21.2659263568,26.6414141414,24.9180036411,4,8,3,6,490,571.25,833.3333333333,710,4,8,3,6
659,26.5,27.1428571429,36.6666666667,26.6666666667,4,7,3,6,23.9410375893,19.8190041992,25.5265190002,25.1321212121,4,7,3,5,610,558.5714285714,936.6666666667,738,4,7,3,5
660,19.5,27,42.25,25.3333333333,4,4,4,3,19.4834020147,19.008308224,24.5686632603,22.5172043011,4,4,4,3,382.5,520,1040,556.6666666667,4,4,4,3
663,26.4,23.4,41.3333333333,31.6666666667,5,5,6,6,23.2897996571,18.3359307359,25.2590061011,28.4536343957,5,5,6,6,618,432,1045,891.6666666667,5,5,6,6
666,29.5714285714,20.8571428571,33,,7,7,7,0,23.5392583607,20.3516438516,27.4377387319,,7,6,7,0,707.1428571429,430,898.5714285714,,7,6,7,0
672,18.6666666667,31,34.25,35,3,5,8,8,24.7037037037,22.0185185185,28.7048872473,31.5238073888,3,4,8,8,463.3333333333,702.5,978.75,1103.75,3,4,8,8
676,29.6,28.3333333333,35.6666666667,36.8888888889,5,6,3,9,22.5288359788,22.5830309226,25.8463726885,28.1610586277,5,6,3,9,662,656.6666666667,923.3333333333,1030,5,6,3,9
680,32.8333333333,35.1111111111,35.75,26.6,6,9,4,5,21.5205349727,19.1453825489,24.9135007351,25.4225091796,6,9,4,5,711.6666666667,726.6666666667,882.5,672,6,9,4,5
681,24.25,20,35.8571428571,31.25,4,4,7,8,20.3881987578,22.6827326468,22.2511882651,25.9243575052,4,4,7,8,497.5,457.5,798.5714285714,801.25,4,4,7,8
683,26.6,24.6666666667,24.4,32.3333333333,5,9,5,6,20.7807381702,18.4988535503,24.8831501832,27.1910068871,5,9,5,6,534,456.6666666667,626,873.3333333333,5,9,5,6
687,25.75,18.6666666667,38.2,34.8571428571,4,3,5,7,18.1752777896,22.9124040921,23.4818007663,24.5128821095,4,3,5,7,477.5,420,894,870,4,3,5,7
691,29,29,42.7142857143,34.125,5,7,7,8,22.6626262626,22.6651569473,26.1624108173,26.0607867794,5,7,7,8,646,637.1428571429,1112.8571428572,885,5,7,7,8
697,24.1666666667,24.1818181818,36.6666666667,33.6,6,11,3,5,23.2705416231,22.5898306358,26.6644083107,27.3778800147,6,10,3,5,591.6666666667,597,980,914,6,10,3,5
700,31.2,33.5,34.5,23.3333333333,5,10,8,6,24.4418171679,18.5821739492,25.4180733938,30.5487213404,5,10,8,6,734,647,848.75,678.3333333333,5,10,8,6
