Genotype,"Mean(# Seeds (good), Italy, 2010)","Mean(# Seeds (good), Italy, 2011)","Mean(# Seeds (good), Sweden, 2010)","Mean(# Seeds (good), Sweden, 2011)","N(# Seeds (good), Italy, 2010)","N(# Seeds (good), Italy, 2011)","N(# Seeds (good), Sweden, 2010)","N(# Seeds (good), Sweden, 2011)","Mean(MSeedMass(ug), Italy, 2010)","Mean(MSeedMass(ug), Italy, 2011)","Mean(MSeedMass(ug), Sweden, 2010)","Mean(MSeedMass(ug), Sweden, 2011)","N(MSeedMass(ug), Italy, 2010)","N(MSeedMass(ug), Italy, 2011)","N(MSeedMass(ug), Sweden, 2010)","N(MSeedMass(ug), Sweden, 2011)","Mean(TotMass(ug), Italy, 2010)","Mean(TotMass(ug), Italy, 2011)","Mean(TotMass(ug), Sweden, 2010)","Mean(TotMass(ug), Sweden, 2011)","N(TotMass(ug), Italy, 2010)","N(TotMass(ug), Italy, 2011)","N(TotMass(ug), Sweden, 2010)","N(TotMass(ug), Sweden, 2011)"
335,18.4,25.5,33,29.5,5,8,2,6,22.3816738817,19.21395898,23.9338235294,24.8107227917,5,8,2,6,420,481.25,790,711.6666666667,5,8,2,6
336,26.8571428571,26.8333333333,38.1666666667,33.2857142857,7,6,6,7,24.7856095742,23.6746001032,24.5090799833,28.2945045882,7,6,6,7,650,640,936.6666666667,931.4285714286,7,6,6,7
337,23,23.75,33.75,30.25,5,4,4,4,21.8556633422,15.0220155204,25.2436893362,25.1272378517,5,4,4,4,490,392.5,847.5,755,5,4,4,4
338,27.8333333333,25.7142857143,,42.8333333333,6,7,0,6,25.7847870481,21.190886404,,28.5206776748,6,6,0,6,746.6666666667,566.6666666667,,1218.3333333333,6,6,0,6
341,27.2,18,32.6666666667,25.4,5,2,3,5,26.7234644582,18.4727272727,27.0506265664,28.9614949019,5,2,3,5,708,360,893.3333333333,740,5,2,3,5
342,17.75,15.5,39.6,29.5,4,4,5,2,19.7659632035,17.5719814241,26.7655082548,29.6428571429,4,4,5,2,352.5,267.5,1038,880,4,4,5,2
344,29.25,26.5,43.2,39,4,2,5,8,27.8802330274,26,27.0408222819,27.9161344165,4,2,5,8,802.5,615,1164,1095,4,2,5,8
345,21.5,21.3,35,29.75,4,10,2,8,21.2301587302,19.4519230769,25.9388458226,27.6889850412,4,10,2,8,467.5,402,905,836.25,4,10,2,8
348,26.75,17.5,42.8333333333,35.4285714286,4,2,6,7,17.8530061892,25.4545454545,24.7058706577,26.7884462657,4,1,6,7,480,560,1053.3333333333,938.5714285714,4,1,6,7
349,29.5,24.8571428571,,35.6666666667,4,7,0,3,22.9189393939,16.9307394395,,25.2845528455,4,6,0,3,667.5,475,,903.3333333333,4,6,0,3
351,22.6,17.625,32.6666666667,35.8,5,8,3,5,21.7054984231,24.678078791,26.2820512821,29.7890612371,5,5,3,5,520,576,833.3333333333,1072,5,5,3,5
352,16.25,26.8888888889,29.2,31.6666666667,4,9,5,6,21.5593825249,21.6535369082,23.2682025782,29.1887683564,4,9,5,6,357.5,590,704,901.6666666667,4,9,5,6
353,23.2,19.1666666667,32.1666666667,31.125,5,6,6,8,21.9319990798,26.1108456761,25.7464415396,28.0339560719,5,5,6,8,518,556,823.3333333333,867.5,5,5,6,8
356,30,26.2857142857,33.625,34.7142857143,4,7,8,7,28.2712374582,21.11207906,26.21875,29.6096698328,4,7,8,7,840,537.1428571429,880,1028.5714285714,4,7,8,7
357,32.6666666667,19.3333333333,32.6666666667,34.5,6,9,3,4,21.4033445161,25.6178016083,23.9187712872,27.5039746755,6,9,3,4,696.6666666667,482.2222222222,773.3333333333,947.5,6,9,3,4
358,22.3333333333,24.8333333333,39.25,36.2857142857,3,6,4,7,24.2118226601,23.2417831263,26.9365203762,29.4733581692,2,6,4,7,775,588.3333333333,1047.5,1068.5714285714,2,6,4,7
360,30.25,25.8888888889,34.5,29,4,9,4,5,20.7901669529,21.0344923276,22.7952201307,26.9336646336,4,9,4,5,635,556.6666666667,785,764,4,9,4,5
361,34.8,22.5,43.4285714286,49,5,2,7,8,22.1683405069,24.6052631579,23.9013494105,28.7528268174,4,2,7,8,730,555,1024.2857142857,1416.25,4,2,7,8
362,30.1428571429,30,29.2,25,7,2,5,5,21.9937921083,23.6484983315,22.8782610819,27.4540229885,7,2,5,5,668.5714285714,710,652,680,7,2,5,5
364,26.2,24.25,33.8,36.4285714286,5,4,5,7,27.3398941799,26.8846153846,28.2420875421,30.2297784042,5,3,5,7,738,850,956,1108.5714285714,5,3,5,7
366,30.4,25,40.8333333333,35.75,5,4,6,4,26.8217156609,20.3893494335,23.8369722889,25.8295518207,5,4,6,4,780,522.5,973.3333333333,925,5,4,6,4
369,26.4,26.125,41.25,34.5,5,8,4,2,22.293040293,22.0302694471,24.0407724211,25.0849731664,5,8,4,2,590,547.5,990,840,5,8,4,2
371,18.25,20.7142857143,38.3333333333,35.2857142857,4,7,3,7,25.5298544167,17.41120267,25.99988044,28.0750790309,4,6,3,7,445,403.3333333333,996.6666666667,988.5714285714,4,6,3,7
379,26.4,25.6,36.8,42.8571428571,5,5,5,7,24.7034482759,21.5686600221,29.2382593376,26.8938886567,5,4,5,7,664,652.5,1056,1117.1428571429,5,4,5,7
380,25.5,28,36.2,28.1666666667,4,5,5,6,20.6447241892,22.3614245014,26.4096112686,32.1637210969,3,5,5,6,666.6666666667,628,952,873.3333333333,3,5,5,6
383,27.25,23,35.6,32.75,4,9,5,4,20.8734772816,19.765960768,23.9349819628,25.7965909091,4,7,5,4,580,534.2857142857,850,855,4,7,5,4
384,40,27,44,32.8571428571,5,6,3,7,23.6317679806,22.4561032324,24.750927398,25.9556956216,5,6,3,6,950,626.6666666667,1086.6666666667,976.6666666667,5,6,3,6
385,28.1428571429,25.8,28.1666666667,24.2857142857,7,5,6,7,22.1267416057,18.6214452214,25.1490568124,25.2900493531,7,5,6,7,601.4285714286,478,705,611.4285714286,7,5,6,7
386,29.3333333333,21.6,32.6,33.7142857143,3,5,5,7,19.496124031,14.7863795375,24.8265745812,28.7754324456,3,4,5,7,610,375,814,962.8571428571,3,4,5,7
388,31.2,31,19.3333333333,23,5,6,3,3,20.189023569,19.8427364778,26.0714285714,24.1307692308,5,6,2,2,626,628.3333333333,695,620,5,6,2,2
390,30.5714285714,29.6,41.1111111111,23.4,7,5,9,5,20.3607035295,16.7521454261,23.7850902322,27.7061919505,7,5,9,5,607.1428571429,532,961.1111111111,620,7,5,9,5
391,31.6666666667,29.3333333333,34,34,6,9,4,4,23.3588180104,21.609522959,23.2029569892,24.494245311,6,8,4,4,733.3333333333,708.75,797.5,822.5,6,8,4,4
393,30.75,34,34.2,32.75,4,5,5,4,24.1839989876,18.258908046,23.6555295195,25.2629310345,4,5,5,4,777.5,632,806,817.5,4,5,5,4
394,27.8888888889,29.625,36.6666666667,33.8,9,8,3,5,24.4892635661,19.2164003759,29.5462280204,25.8305232558,9,8,3,5,667.7777777778,568.75,1080,838,9,8,3,5
395,30.2857142857,28.4,29.2,30.3333333333,7,5,5,3,26.9526412052,20.088915259,29.2018034216,27.4865542234,7,5,5,3,780,568,846,826.6666666667,7,5,5,3
396,28.6,25.8,35.1666666667,31.5,5,10,6,4,25.0848118548,25.9128800022,29.7744024813,29.6568627451,5,10,6,4,712,661,1046.6666666667,962.5,5,10,6,4
397,21.5,25.5714285714,37.25,13,6,7,8,2,20.0430778372,18.0071707045,24.436954529,27.5454545455,6,7,8,2,430,457.1428571429,900,355,6,7,8,2
399,1.5,6,13.3333333333,10.6666666667,2,2,3,3,,10,28.8955026455,28.9285714286,0,1,3,2,,60,373.3333333333,390,0,1,3,2
403,24,21,37.25,23.25,2,4,4,4,22.2960151803,16.1506109023,24.6975129199,25.4873511905,2,4,4,4,510,360,922.5,600,2,4,4,4
409,31.5,37.6,38.6,38.25,4,5,5,8,23.0683760684,21.6319444444,26.4459436216,28.2980522602,3,5,5,8,956.6666666667,816,1018,1088.75,3,5,5,8
411,24.2,23.7142857143,39.1666666667,36,5,7,6,7,21.6203703704,23.3734366157,27.3485471117,27.9937019769,5,6,6,7,524,658.3333333333,1065,1000,5,6,6,7
414,27.1666666667,24.1428571429,37.5,31,6,7,4,3,19.8834876543,22.487328104,24.2767837524,25.0807017544,6,6,4,3,566.6666666667,646.6666666667,915,770,6,6,4,3
415,19.3333333333,17,38.8333333333,30.4285714286,3,3,6,7,23.1465026202,21.216374269,26.3004001637,29.311976912,3,3,6,7,423.3333333333,343.3333333333,1018.3333333333,867.1428571429,3,3,6,7
416,28.7142857143,31.25,31,32.8571428571,7,4,3,7,24.0083736126,20.3824291814,26.8392255892,29.2784666113,7,4,3,7,668.5714285714,642.5,833.3333333333,960,7,4,3,7
417,41.2857142857,23.625,38.1428571429,36,7,8,7,4,23.0188431364,20.1508911808,21.2234761708,24.2570111048,7,7,7,4,958.5714285714,555.7142857143,811.4285714286,870,7,7,7,4
418,26.8333333333,25.5,37.4,31,6,8,5,8,22.028607459,19.8135554472,26.4708760697,27.5904558901,6,7,5,8,603.3333333333,478.5714285714,988,853.75,6,7,5,8
420,28.5714285714,32.6666666667,31,30.1111111111,7,6,3,9,20.3493078739,21.0754671252,23.5861394816,25.5452886215,7,6,3,9,592.8571428571,688.3333333333,730,765.5555555556,7,6,3,9
423,31.1666666667,27.25,30.5,32.6666666667,6,4,6,3,24.3792359075,19.3941972369,26.1925824923,27.9080243034,6,4,6,3,788.3333333333,585,780,933.3333333333,6,4,6,3
426,31.75,31.8571428571,30.6666666667,28.4,4,7,6,5,28.3892730832,19.9686533652,26.6767320817,22.7236996337,4,6,6,5,917.5,745,811.6666666667,646,4,6,6,5
427,32.25,24,44,28.25,4,6,4,4,19.8704954955,20.4960863698,23.957046332,24.3539294542,4,5,4,4,662.5,582,1055,687.5,4,5,4,4
