"id","it2010","it2011","sw2010","sw2011"
337,11.8,11.94444444,45.3,28.16666667
338,5.333333333,7,36,31.9
341,8.222222222,10.21428571,37.125,18.5
342,5.75,5,65.83333333,19.55555556
344,5.714285714,7.846153846,66.3,25.58333333
345,10.72727273,10.94444444,35.4,32.76923077
348,6.444444444,7.466666667,81.77777778,52
349,16,12.53846154,66,46.55555556
351,8.785714286,7.764705882,29.5,27.2
352,7.846153846,13.61111111,42.11111111,42
353,7.142857143,7.076923077,35.88888889,23.5
356,6.071428571,8.266666667,32.30769231,20.45454545
357,9.384615385,7.357142857,38,24.63636364
358,10.25,10.11764706,36,36.13333333
360,9.25,8.823529412,51.5,34
361,6.555555556,7.928571429,40.66666667,33.73333333
362,14.06666667,8.416666667,32.6,13.33333333
