"genotype","it2010","it2011","sw2010","sw2011"
351,198.5571428636,136.85294117025,963.66666666765,973.76
352,127.4999999975,365.987654291262,1229.644444412,1330.0000000014
353,165.7142857176,135.641025642736,1154.42592596286,731.4375
356,182.14285713,217.295238103882,1086.34615392375,710.064934907435
357,306.56410257698,142.238095235088,1241.3333333346,849.95454558
358,228.916666666325,251.254901989663,1413,1311.12380940234
360,279.8125,228.431372555209,1776.75,986
361,228.1333333488,NA,1766.09523824116,1652.93333317
362,424.009523910603,NA,951.92,333.33333325
364,340.6,205.31666667475,1374.533333446,1204.74489790809
366,332.228571472,315.625,1624.25925934867,1128.11111127
369,192.72,310.01666675375,2209.8214285125,NA
371,171.55,116.00000000008,1993.3333333316,1465.71428576798
379,187.44,218.5846153728,1979.022222304,1683.67346956975
380,175.6666666695,263.2,1411.8,535.1666666673
383,248.65625,217.733333341,1726.6,1324.55555541
384,600,286.2,2029.5,1144.94505506994
385,415.107142857775,270.9,1179.47916666806,327.85714285695
386,182.518518511793,141.035294124,1872.688888744,1685.714285715
388,337.527272784,259.071428567,782.99999999865,256.53846145
390,244.5714285712,294.2588235416,1849.9999999995,507.78
391,548.076923150577,396.862744959549,1568.85714276,1428
393,525.5454545175,317.333333322,1576.999999962,524
394,292.83333333345,298.22500009875,1475.83333333468,724.822222072
395,498.704762005479,443.476923208,1268.577777648,679.46666666592
396,350.35,295.941176592,1195.6666666678,441
397,225.033333405,352.520408272463,1443.4375,NA
399,NA,NA,386.6666666657,176.00000000055
403,NA,144.200000007,1549.6,501.16666677
409,403.77272733,323.36,1498.381818252,1171.84090923
411,157.3,210.638655458127,1043.25757590089,979.2
414,375.805555465461,263.846938810468,1343.749999875,389.71428567
415,104.39999999982,109.933333339,1987.56060598829,747.190476326416
416,443.766233923078,345.8333334375,1429.44444441,943.469387613055
417,1511.69230788233,338.62499992125,1973.89285714507,1265.14285704
418,371.538461641205,286.875,1898.05,866.17647057
420,443.956043999556,370.222222113711,930,645.506944444206
423,347.285714197038,227.73214285325,779.44444458,988.166666667675
426,281.78125,814.348214284619,1338.18181829479,397.6
427,540.1875,243.42857136,2019.11111116,452
428,336.46875,211.962962956215,1862.59090917,667.755555445671
429,487.38461541,477.277777845,3050,NA
431,647.641025595918,334.7666667675,1446.8571428592,1465.7142857625
432,338.571428571,312.979166667044,1333.2,1687.399999896
