year,site,tray,pos,genotype,fruit_per_plant,nseeds,mean_mass_ug,total_mass_mg,Comment
2011,italy,8,60,sweden,0,,,,
2011,italy,8,63,italy,38,52,18.6538461538,970,
2011,italy,8,77,sweden,0,,,,
2011,italy,8,92,italy,5,,,,
2011,italy,8,94,italy,18,45,22.6666666667,1020,
2011,italy,8,97,sweden,6,23,21.3043478261,490,
2011,italy,8,115,sweden,7,24,22.0833333333,530,
2011,italy,8,132,italy,3,,,,
2011,italy,8,134,sweden,0,,,,
2011,italy,8,141,sweden,0,,,,
2011,italy,8,145,sweden,8,19,13.1578947368,250,
2011,italy,8,148,sweden,0,,,,
2011,italy,8,166,sweden,0,,,,
2011,italy,8,180,italy,15,39,19.7435897436,770,
2011,italy,8,197,italy,109,48,22.9166666667,1100,
2011,italy,8,199,italy,13,40,24.25,970,
2011,italy,8,234,sweden,0,,,,
2011,italy,8,240,sweden,6,24,16.25,390,
2011,italy,9,11,sweden,1,,,,
2011,italy,9,61,italy,24,,,,
2011,italy,9,77,italy,0,,,,
2011,italy,9,90,italy,0,,,,
2011,italy,9,99,sweden,0,,,,
2011,italy,9,121,sweden,2,14,15.7142857143,220,
2011,italy,9,127,italy,0,,,,
2011,italy,9,139,sweden,2,17,9.4117647059,160,
2011,italy,9,163,italy,25,8,23.75,190,
2011,italy,9,172,italy,31,39,23.5897435897,920,
2011,italy,9,180,italy,8,30,10,300,
2011,italy,9,215,italy,25,42,13.8095238095,580,
2011,italy,9,221,italy,15,,,,
2011,italy,10,37,sweden,0,,,,
2011,italy,10,43,sweden,0,,,,
2011,italy,10,62,italy,0,,,,
2011,italy,10,74,italy,0,,,,felmärkt? - borttagen
2011,italy,10,165,italy,10,,,,
2011,italy,10,223,sweden,0,,,,
2011,italy,10,233,italy,4,,,,
2011,italy,10,240,sweden,0,,,,
2011,italy,10,255,sweden,0,,,,
2011,italy,11,40,sweden,0,,,,
2011,italy,11,58,sweden,0,,,,
2011,italy,11,83,sweden,2,,,,
2011,italy,11,93,sweden,0,,,,
2011,italy,11,96,italy,10,6,,,
2011,italy,11,110,italy,7,,,,
2011,italy,11,120,italy,27,14,15.7142857143,220,
2011,italy,11,133,sweden,0,,,,
2011,italy,11,145,sweden,0,,,,
2011,italy,11,179,sweden,0,,,,
2011,italy,11,248,sweden,5,21,25.2380952381,530,
2011,italy,11,250,italy,0,,,,
2011,italy,11,252,sweden,0,,,,
2011,italy,11,259,italy,24,43,21.8604651163,940,
2011,italy,12,3,italy,16,,,,
2011,italy,12,23,italy,2,,,,
2011,italy,12,33,sweden,0,,,,
2011,italy,12,77,italy,11,,,,
2011,italy,12,86,sweden,0,,,,
2011,italy,12,88,sweden,5,9,27.7777777778,250,
2011,italy,12,119,italy,0,,,,
2011,italy,12,124,sweden,1,,,,
2011,italy,12,127,italy,39,50,22.2,1110,
2011,italy,12,143,sweden,6,,,,
2011,italy,12,150,italy,12,,,,
2011,italy,12,197,sweden,0,,,,
2011,italy,12,209,sweden,0,,,,
2011,italy,13,72,sweden,0,,,,
2011,italy,13,77,italy,0,,,,
2011,italy,13,101,italy,8,,,,
2011,italy,13,148,italy,12,,,,
2011,italy,13,187,italy,14,23,14.347826087,330,
2011,italy,13,197,sweden,1,,,,
2011,italy,13,207,italy,6,,,,
2011,italy,14,1,sweden,0,,,,
2011,italy,14,15,italy,16,,,,
2011,italy,14,26,sweden,1,,,,
2011,italy,14,36,sweden,4,,,,
2011,italy,14,55,italy,13,,,,
2011,italy,14,96,italy,0,,,,
2011,italy,14,129,sweden,10,30,18.6666666667,560,
2011,italy,14,181,italy,16,43,19.7674418605,850,
2011,italy,14,233,sweden,0,,,,
2011,italy,15,9,italy,7,,,,
2011,italy,15,40,italy,9,,,,
2011,italy,15,53,italy,20,40,27.25,1090,
2011,italy,15,54,italy,7,,,,
2011,italy,15,61,italy,27,38,20,760,
2011,italy,15,71,italy,10,,,,
2011,italy,15,82,italy,10,,,,
2011,italy,15,88,italy,17,,,,
2011,italy,15,108,italy,14,,,,
2011,italy,15,201,sweden,5,11,,,
2011,italy,15,255,italy,16,40,27,1080,
2011,italy,16,76,sweden,5,18,29.4444444444,530,
2011,italy,16,98,italy,16,,,,
2011,italy,16,102,sweden,0,,,,
2011,italy,16,103,italy,35,46,22.3913043478,1030,
2011,italy,16,117,sweden,0,,,,
2011,italy,16,229,sweden,0,,,,
2011,italy,17,95,sweden,0,,,,
2011,italy,17,108,sweden,0,,,,
2011,italy,17,144,sweden,0,,,,
2011,italy,17,146,italy,5,,,,
2011,italy,17,196,italy,2,,,,
2011,italy,17,218,italy,4,,,,
2011,italy,17,240,italy,10,,,,
2011,italy,17,252,italy,9,,,,
2011,italy,17,254,sweden,0,,,,
2011,italy,18,24,sweden,0,,,,
2011,italy,18,34,sweden,2,,,,
2011,italy,18,42,italy,10,,,,
2011,italy,18,46,sweden,1,,,,
2011,italy,18,67,sweden,0,,,,
2011,italy,18,70,italy,0,,,,
2011,italy,18,92,italy,17,36,15.2777777778,550,
2011,italy,18,99,italy,10,,,,
2011,italy,18,164,sweden,2,,,,
2011,italy,18,169,italy,11,,,,
2011,italy,18,180,sweden,1,8,,,
2011,italy,18,189,italy,15,,,,
2011,italy,18,191,italy,10,33,27.5757575758,910,
2011,italy,18,241,italy,10,,,,
2011,italy,18,247,italy,17,37,22.7027027027,840,
2011,italy,18,255,sweden,8,,,,imm
2011,italy,18,256,sweden,5,,,,imm
2011,italy,19,4,sweden,0,,,,
2011,italy,19,29,italy,14,,,,
2011,italy,19,34,sweden,7,,,,
2011,italy,19,40,italy,14,,,,
2011,italy,19,46,italy,17,,,,
2011,italy,19,52,sweden,2,,,,
2011,italy,19,55,italy,15,,,,
2011,italy,19,58,italy,17,,,,
2011,italy,19,113,italy,9,,,,
2011,italy,19,129,sweden,0,,,,
2011,italy,19,148,sweden,6,,,,
2011,italy,19,151,italy,17,,,,
2011,italy,19,200,italy,12,,,,
2011,italy,19,207,sweden,0,,,,
2011,italy,19,226,italy,8,,,,
2011,italy,20,6,sweden,0,,,,
2011,italy,20,9,italy,24,,,,
2011,italy,20,28,italy,16,,,,
2011,italy,20,88,sweden,0,,,,
2011,italy,20,91,sweden,7,,,,
2011,italy,20,95,italy,13,,,,
2011,italy,20,103,sweden,2,,,,
2011,italy,20,133,sweden,4,,,,
2011,italy,20,144,sweden,7,,,,
2011,italy,20,165,italy,7,,,,
2011,italy,20,192,sweden,3,,,,
2011,italy,20,193,italy,11,,,,
2011,italy,20,195,italy,20,,,,
2011,italy,21,15,sweden,4,,,,
2011,italy,21,19,italy,49,,,,
2011,italy,21,23,italy,13,,,,
2011,italy,21,56,sweden,0,,,,
2011,italy,21,96,sweden,3,,,,
2011,italy,21,100,italy,22,,,,
2011,italy,21,133,sweden,5,,,,
2011,italy,21,153,italy,11,,,,
2011,italy,21,159,sweden,0,,,,
2011,italy,21,165,italy,9,,,,
2011,italy,21,190,sweden,0,,,,
2011,italy,21,212,italy,13,,,,
2011,italy,21,242,sweden,6,,,,
2011,italy,21,256,sweden,5,,,,
2011,italy,22,15,italy,12,,,,
2011,italy,22,23,sweden,9,,,,
2011,italy,22,38,sweden,7,,,,
2011,italy,22,47,sweden,6,,,,
2011,italy,22,64,italy,24,,,,
2011,italy,22,66,italy,0,,,,
2011,italy,22,70,sweden,0,,,,
2011,italy,22,75,sweden,4,,,,
2011,italy,22,85,italy,27,,,,
2011,italy,22,86,italy,31,,,,
2011,italy,22,103,italy,0,,,,
2011,italy,22,108,italy,13,,,,
2011,italy,22,124,sweden,3,,,,
2011,italy,22,155,sweden,7,,,,
2011,italy,22,160,sweden,0,,,,
2011,italy,22,163,italy,37,,,,
2011,italy,22,204,italy,10,,,,
2011,italy,23,3,sweden,2,,,,
2011,italy,23,33,italy,15,,,,
2011,italy,23,40,italy,23,,,,
2011,italy,23,50,sweden,4,,,,
2011,italy,23,57,italy,5,,,,
2011,italy,23,92,italy,20,,,,
2011,italy,23,134,italy,12,,,,
2011,italy,23,153,sweden,12,,,,
2011,italy,23,161,sweden,16,,,,
2011,italy,23,254,italy,18,,,,
2011,italy,24,23,italy,0,,,,
2011,italy,24,27,italy,16,,,,
2011,italy,24,46,italy,43,,,,
2011,italy,24,51,sweden,5,,,,
2011,italy,24,66,italy,7,,,,
2011,italy,24,76,sweden,7,,,,
2011,italy,24,94,italy,17,,,,
2011,italy,24,106,sweden,0,,,,
2011,italy,24,109,italy,19,,,,
2011,italy,24,125,italy,7,,,,
2011,italy,24,127,italy,17,,,,
2011,italy,24,159,italy,15,,,,
2011,italy,24,190,sweden,1,,,,
2011,italy,24,221,sweden,4,,,,
2011,italy,24,228,sweden,4,,,,
2011,italy,25,35,sweden,6,,,,
2011,italy,25,48,italy,47,,,,
2011,italy,25,91,italy,15,,,,
2011,italy,25,157,italy,49,,,,
2011,italy,25,213,italy,19,,,,
2011,italy,25,223,sweden,4,,,,
2011,italy,25,229,italy,47,,,,
2011,italy,25,243,italy,16,,,,
2011,italy,25,252,italy,24,,,,
2011,italy,26,20,sweden,7,,,,
2011,italy,26,45,italy,18,,,,
2011,italy,26,68,sweden,4,,,,
2011,italy,26,122,sweden,3,,,,
2011,italy,26,140,sweden,6,,,,
2011,italy,26,149,italy,18,,,,
2011,italy,26,166,sweden,0,,,,
2011,italy,26,167,sweden,0,,,,
2011,italy,26,190,sweden,7,,,,
2011,italy,26,195,sweden,0,,,,
2011,italy,26,207,italy,12,,,,
2011,italy,26,233,sweden,0,,,,
2011,italy,26,248,italy,26,,,,
2011,italy,27,17,italy,13,,,,
2011,italy,27,43,sweden,4,,,,
2011,italy,27,62,sweden,0,,,,
2011,italy,27,81,sweden,5,,,,
2011,italy,27,94,italy,29,,,,
2011,italy,27,106,sweden,10,,,,
2011,italy,27,145,sweden,0,,,,
2011,italy,27,151,italy,29,,,,
2011,italy,27,167,sweden,5,,,,
2011,italy,27,196,sweden,0,,,,
2011,italy,27,214,italy,18,,,,
2011,italy,27,260,italy,12,,,,
2011,italy,28,10,italy,15,,,,
2011,italy,28,25,sweden,7,,,,
2011,italy,28,28,italy,18,,,,
2011,italy,28,76,italy,19,,,,
2011,italy,28,93,sweden,9,,,,
2011,italy,28,98,sweden,10,,,,
2011,italy,28,114,italy,17,,,,
2011,italy,28,117,sweden,6,,,,
2011,italy,28,132,sweden,6,,,,
2011,italy,28,182,sweden,1,,,,
2011,italy,28,236,italy,4,,,,
2011,italy,28,240,sweden,2,,,,
2011,italy,28,249,sweden,8,,,,
2011,italy,29,17,sweden,0,,,,
2011,italy,29,32,italy,13,,,,
2011,italy,29,48,italy,12,,,,
2011,italy,29,106,sweden,0,,,,
2011,italy,29,128,sweden,5,,,,
2011,italy,29,135,italy,17,,,,
2011,italy,29,137,italy,14,,,,
2011,italy,29,169,italy,21,,,,
2011,italy,29,249,italy,0,,,,
2011,italy,29,252,sweden,9,,,,
2011,italy,30,30,italy,15,,,,
2011,italy,30,35,sweden,7,,,,
2011,italy,30,83,sweden,0,,,,
2011,italy,30,86,sweden,0,,,,
2011,italy,30,172,sweden,0,,,,
2011,italy,30,231,sweden,2,,,,
2011,italy,30,252,italy,19,,,,
2011,sweden,1,35,sweden,3,20,22.5,450,
2011,sweden,1,76,sweden,0,,,,
2011,sweden,1,168,sweden,0,,,,
2011,sweden,1,233,italy,0,,,,
2011,sweden,1,254,italy,0,,,,
2011,sweden,2,5,italy,24,17,31.7647058824,540,
2011,sweden,2,6,sweden,9,19,22.1052631579,420,
2011,sweden,2,41,italy,17,,,,
2011,sweden,2,45,italy,9,16,26.25,420,
2011,sweden,2,50,italy,8,22,23.1818181818,510,
2011,sweden,2,53,sweden,8,9,21.1111111111,190,
2011,sweden,2,79,sweden,0,,,,
2011,sweden,2,112,sweden,0,,,,
2011,sweden,2,149,italy,0,,,,
2011,sweden,2,196,italy,14,19,32.1052631579,610,
2011,sweden,2,242,sweden,0,,,,
2011,sweden,2,248,sweden,16,38,26.3157894737,1000,
2011,sweden,2,250,sweden,37,,,,3 skal
2011,sweden,3,5,italy,0,19,31.0526315789,590,
2011,sweden,3,6,sweden,0,,,,
2011,sweden,3,21,italy,12,20,27,540,
2011,sweden,3,38,sweden,3,,,,"im, alla frön gröna"
2011,sweden,3,44,sweden,2,,,,"im, 5 gröna (g)"
2011,sweden,3,46,sweden,4,11,7.2727272727,80,
2011,sweden,3,54,italy,10,8,,,frön tappade innan vägning
2011,sweden,3,71,italy,12,21,24.7619047619,520,
2011,sweden,3,82,italy,18,20,27.5,550,
2011,sweden,3,99,sweden,8,20,29,580,
